"Traffic","Packet Injection Rate (packets/cycle/node)","Routing Algorithm","Selection Policy","Routing+Selection","Total Cycles","# Packets Transmitted","Throughput (packets/cycle/node)","Average Packet Delay (cycles)","Normal.# Packets Transmitted","Normal.Throughput (packets/cycle/node)","Normal.Average Packet Delay (cycles)","ACO.# Packets Transmitted","ACO.Throughput (packets/cycle/node)","ACO.Average Packet Delay (cycles)"
"transpose","0.01","xy","random","xy+random","14001","1542","0.00965","9.71901","1542","0.00965","9.71901","0","0","0"
"transpose","0.01","odd_even","random","odd_even+random","14001","1542","0.00965","9.13027","1542","0.00965","9.13027","0","0","0"
"transpose","0.01","odd_even","buffer_level","odd_even+buffer_level","14001","1542","0.00965","9.13027","1542","0.00965","9.13027","0","0","0"
"transpose","0.01","odd_even","aco","odd_even+aco","14001","1509","0.00996875","14.6602","1509","0.00996875","14.6602","1606","0.0095125","91.0329"
"transpose","0.05","xy","random","xy+random","14001","8028","0.0502","9.48238","8028","0.0502","9.48238","0","0","0"
"transpose","0.05","odd_even","random","odd_even+random","14001","8028","0.0502","9.52342","8028","0.0502","9.52342","0","0","0"
"transpose","0.05","odd_even","buffer_level","odd_even+buffer_level","14001","8028","0.0502","9.4757","8028","0.0502","9.4757","0","0","0"
"transpose","0.05","odd_even","aco","odd_even+aco","14001","7908","0.0505","10.5635","7908","0.0505","10.5635","1620","0.009075","68.4872"
"transpose","0.1","xy","random","xy+random","14001","16007","0.100062","10.4082","16007","0.100062","10.4082","0","0","0"
"transpose","0.1","odd_even","random","odd_even+random","14001","16007","0.100062","10.3389","16007","0.100062","10.3389","0","0","0"
"transpose","0.1","odd_even","buffer_level","odd_even+buffer_level","14001","16007","0.100056","10.4598","16007","0.100056","10.4598","0","0","0"
"transpose","0.1","odd_even","aco","odd_even+aco","14001","15802","0.0993875","10.8704","15802","0.0993875","10.8704","1625","0.00955","54.7025"
"transpose","0.2","xy","random","xy+random","-1","31915","0.199431","13.7599","31915","0.199431","13.7599","0","0","0"
"transpose","0.2","odd_even","random","odd_even+random","-1","31915","0.199419","13.6387","31915","0.199419","13.6387","0","0","0"
"transpose","0.2","odd_even","buffer_level","odd_even+buffer_level","-1","31915","0.199431","13.6862","31915","0.199431","13.6862","0","0","0"
"transpose","0.2","odd_even","aco","odd_even+aco","-1","31529","0.19705","14.0811","31529","0.19705","14.0811","1641","0.0102","54.0239"
"transpose","0.5","xy","random","xy+random","-1","54861","0.337056","19.7518","54861","0.337056","19.7518","0","0","0"
"transpose","0.5","odd_even","random","odd_even+random","-1","44910","0.274612","21.0964","44910","0.274612","21.0964","0","0","0"
"transpose","0.5","odd_even","buffer_level","odd_even+buffer_level","-1","49952","0.309513","18.5069","49952","0.309513","18.5069","0","0","0"
"transpose","0.5","odd_even","aco","odd_even+aco","-1","39598","0.244325","18.2012","39598","0.244325","18.2012","800","0.00479375","30.7945"
"transpose","0.6","xy","random","xy+random","-1","53985","0.325362","19.5897","53985","0.325362","19.5897","0","0","0"
"transpose","0.6","odd_even","random","odd_even+random","-1","60075","0.361694","19.2473","60075","0.361694","19.2473","0","0","0"
"transpose","0.6","odd_even","buffer_level","odd_even+buffer_level","-1","60075","0.361694","19.2473","60075","0.361694","19.2473","0","0","0"
"transpose","0.6","odd_even","aco","odd_even+aco","-1","59459","0.357681","19.46","59459","0.357681","19.46","1012","0.00633125","40.136"
