"Traffic","Packet Injection Rate (packets/cycle/node)","Routing Algorithm","Selection Policy","Routing+Selection","Total Cycles","# Packets Transmitted","Throughput (packets/cycle/node)","Average Packet Delay (cycles)","Normal.# Packets Transmitted","Normal.Throughput (packets/cycle/node)","Normal.Average Packet Delay (cycles)","ACO.# Packets Transmitted","ACO.Throughput (packets/cycle/node)","ACO.Average Packet Delay (cycles)"
"hotspot","0.01","xy","random","xy+random","13999","5235","0.0327125","13.3734","5235","0.0327125","13.3734","0","0","0"
"hotspot","0.01","odd_even","random","odd_even+random","13999","5235","0.0327125","13.5607","5235","0.0327125","13.5607","0","0","0"
"hotspot","0.01","odd_even","buffer_level","odd_even+buffer_level","13999","5235","0.0327125","13.5605","5235","0.0327125","13.5605","0","0","0"
"hotspot","0.01","odd_even","aco","odd_even+aco","13999","5179","0.0323312","13.0176","5179","0.0323312","13.0176","26","0.00019375","38.2258"
"hotspot","0.05","xy","random","xy+random","14005","14133","0.0883063","14.4821","14133","0.0883063","14.4821","0","0","0"
"hotspot","0.05","odd_even","random","odd_even+random","14005","14133","0.0883063","15.0661","14133","0.0883063","15.0661","0","0","0"
"hotspot","0.05","odd_even","buffer_level","odd_even+buffer_level","14005","14133","0.0883063","15.0446","14133","0.0883063","15.0446","0","0","0"
"hotspot","0.05","odd_even","aco","odd_even+aco","14004","13983","0.0873875","14.7438","13983","0.0873875","14.7438","101","0.0006125","20.898"
"hotspot","0.1","xy","random","xy+random","-1","24052","0.150306","16.6223","24052","0.150306","16.6223","0","0","0"
"hotspot","0.1","odd_even","random","odd_even+random","-1","24052","0.150294","17.3981","24052","0.150294","17.3981","0","0","0"
"hotspot","0.1","odd_even","buffer_level","odd_even+buffer_level","-1","24052","0.150294","17.5238","24052","0.150294","17.5238","0","0","0"
"hotspot","0.1","odd_even","aco","odd_even+aco","14005","23814","0.148844","17.1458","23814","0.148844","17.1458","183","0.001125","27.7"
"hotspot","0.2","xy","random","xy+random","-1","43958","0.274738","20.1789","43958","0.274738","20.1789","0","0","0"
"hotspot","0.2","odd_even","random","odd_even+random","-1","43958","0.274625","21.5066","43958","0.274625","21.5066","0","0","0"
"hotspot","0.2","odd_even","buffer_level","odd_even+buffer_level","-1","43958","0.274713","21.8148","43958","0.274713","21.8148","0","0","0"
"hotspot","0.2","odd_even","aco","odd_even+aco","-1","43529","0.271925","21.0343","43529","0.271925","21.0343","336","0.00215","29.189"
"hotspot","0.5","xy","random","xy+random","-1","55256","0.345175","23.6816","55256","0.345175","23.6816","0","0","0"
"hotspot","0.5","odd_even","random","odd_even+random","-1","47075","0.293794","24.3535","47075","0.293794","24.3535","0","0","0"
"hotspot","0.5","odd_even","buffer_level","odd_even+buffer_level","-1","48303","0.301731","24.3802","48303","0.301731","24.3802","0","0","0"
"hotspot","0.5","odd_even","aco","odd_even+aco","-1","46255","0.289069","23.5356","46255","0.289069","23.5356","453","0.00275","31.6886"
"hotspot","0.6","xy","random","xy+random","-1","50911","0.316744","26.3923","50911","0.316744","26.3923","0","0","0"
"hotspot","0.6","odd_even","random","odd_even+random","-1","40226","0.249381","26.4823","40226","0.249381","26.4823","0","0","0"
"hotspot","0.6","odd_even","buffer_level","odd_even+buffer_level","-1","40973","0.255794","25.9167","40973","0.255794","25.9167","0","0","0"
"hotspot","0.6","odd_even","aco","odd_even+aco","-1","29788","0.186138","24.0546","29788","0.186138","24.0546","340","0.0021375","48.6334"
