"Traffic","Packet Injection Rate (packets/cycle/node)","Routing Algorithm","Selection Policy","Routing+Selection","Total Cycles","# Packets Transmitted","Throughput (packets/cycle/node)","Average Packet Delay (cycles)","ACO.# Packets Transmitted","ACO.Throughput (packets/cycle/node)","ACO.Average Packet Delay (cycles)"
"hotspot","0.01","xy","random","xy+random","20571","5001","0.027575","24.6141","0","0","10000000.0"
"hotspot","0.01","odd_even","random","odd_even+random","20571","5001","0.027575","25.1072","0","0","10000000.0"
"hotspot","0.01","odd_even","buffer_level","odd_even+buffer_level","20571","5001","0.027575","25.1148","0","0","10000000.0"
"hotspot","0.01","odd_even","aco","odd_even+aco","20705","4971","0.0272387","25.723","29","0.000136905","66.96"
"hotspot","0.05","xy","random","xy+random","11184","10000","0.0784999","28.5284","0","0","10000000.0"
"hotspot","0.05","odd_even","random","odd_even+random","11184","10000","0.0784999","29.1468","0","0","10000000.0"
"hotspot","0.05","odd_even","buffer_level","odd_even+buffer_level","11184","10000","0.0784999","29.1497","0","0","10000000.0"
"hotspot","0.05","odd_even","aco","odd_even+aco","11221","9920","0.0777647","29.1359","79","0.000548246","42.6143"
"hotspot","0.1","xy","random","xy+random","6406","10000","0.136642","32.5778","0","0","10000000.0"
"hotspot","0.1","odd_even","random","odd_even+random","6406","10000","0.136656","33.7811","0","0","10000000.0"
"hotspot","0.1","odd_even","buffer_level","odd_even+buffer_level","6406","10000","0.136628","33.6236","0","0","10000000.0"
"hotspot","0.1","odd_even","aco","odd_even+aco","6426","9918","0.135264","33.5491","82","0.00104962","68.6282"
"hotspot","0.2","xy","random","xy+random","3882","10001","0.223934","36.4369","0","0","10000000.0"
"hotspot","0.2","odd_even","random","odd_even+random","3882","10001","0.223992","37.814","0","0","10000000.0"
"hotspot","0.2","odd_even","buffer_level","odd_even+buffer_level","3882","10001","0.223934","38.4945","0","0","10000000.0"
"hotspot","0.2","odd_even","aco","odd_even+aco","3891","9916","0.221473","38.0041","80","0.00171875","54.8816"
"hotspot","0.5","xy","random","xy+random","2145","9998","0.407759","47.0719","0","0","10000000.0"
"hotspot","0.5","odd_even","random","odd_even+random","3072","10001","0.28187","45.4477","0","0","10000000.0"
"hotspot","0.5","odd_even","buffer_level","odd_even+buffer_level","2145","9998","0.407779","49.4602","0","0","10000000.0"
"hotspot","0.5","odd_even","aco","odd_even+aco","2759","9906","0.311339","46.4291","91","0.0025113","62.0241"
