"Traffic","Packet Injection Rate (packets/cycle/node)","Routing Algorithm","Selection Policy","Routing+Selection","Total Cycles","# Packets Transmitted","Throughput (packets/cycle/node)","Average Packet Delay (cycles)","Normal.# Packets Transmitted","Normal.Throughput (packets/cycle/node)","Normal.Average Packet Delay (cycles)","ACO.# Packets Transmitted","ACO.Throughput (packets/cycle/node)","ACO.Average Packet Delay (cycles)"
"uniform","0.01","xy","random","xy+random","13999","1542","0.00965","12.4053","1542","0.00965","12.4053","0","0","0"
"uniform","0.01","odd_even","random","odd_even+random","13999","1542","0.00965","11.2985","1542","0.00965","11.2985","0","0","0"
"uniform","0.01","odd_even","buffer_level","odd_even+buffer_level","13999","1542","0.00965","11.2985","1542","0.00965","11.2985","0","0","0"
"uniform","0.01","odd_even","aco","odd_even+aco","13999","1515","0.0094875","13.0785","1515","0.0094875","13.0785","17","0.0001","7.125"
"uniform","0.05","xy","random","xy+random","13999","8028","0.0502","13.1636","8028","0.0502","13.1636","0","0","0"
"uniform","0.05","odd_even","random","odd_even+random","13999","8028","0.0502","14.0191","8028","0.0502","14.0191","0","0","0"
"uniform","0.05","odd_even","buffer_level","odd_even+buffer_level","13999","8028","0.0502","14.0191","8028","0.0502","14.0191","0","0","0"
"uniform","0.05","odd_even","aco","odd_even+aco","13999","7930","0.0496062","13.8105","7930","0.0496062","13.8105","87","0.000525","15.7143"
"uniform","0.1","xy","random","xy+random","14003","16007","0.100062","14.2942","16007","0.100062","14.2942","0","0","0"
"uniform","0.1","odd_even","random","odd_even+random","14003","16007","0.100069","15.0278","16007","0.100069","15.0278","0","0","0"
"uniform","0.1","odd_even","buffer_level","odd_even+buffer_level","14003","16007","0.100062","15.072","16007","0.100062","15.072","0","0","0"
"uniform","0.1","odd_even","aco","odd_even+aco","14003","15832","0.0990188","14.7892","15832","0.0990188","14.7892","161","0.00095625","30.0131"
"uniform","0.2","xy","random","xy+random","-1","31915","0.199469","16.8563","31915","0.199469","16.8563","0","0","0"
"uniform","0.2","odd_even","random","odd_even+random","-1","31915","0.19945","17.6398","31915","0.19945","17.6398","0","0","0"
"uniform","0.2","odd_even","buffer_level","odd_even+buffer_level","-1","31915","0.19945","17.9195","31915","0.19945","17.9195","0","0","0"
"uniform","0.2","odd_even","aco","odd_even+aco","-1","31565","0.197431","17.2206","31565","0.197431","17.2206","324","0.001875","28.8233"
"uniform","0.5","xy","random","xy+random","-1","59955","0.374256","24.4487","59955","0.374256","24.4487","0","0","0"
"uniform","0.5","odd_even","random","odd_even+random","-1","51468","0.321188","24.8305","51468","0.321188","24.8305","0","0","0"
"uniform","0.5","odd_even","buffer_level","odd_even+buffer_level","-1","44483","0.277919","24.2938","44483","0.277919","24.2938","0","0","0"
"uniform","0.5","odd_even","aco","odd_even+aco","-1","55280","0.344094","24.4299","55280","0.344094","24.4299","550","0.00355625","37.2232"
